title,contents
한국경제매거진 '퇴사자들' 인터뷰 현장,"
바야흐로 이현이 임신 10주때.#한국경제매거진 #캠퍼스잡앤조이 촬영을 했던 적이 있었습니다. #퇴사자들 #인터뷰 라서.. 헤어, 메이크업 신경안쓰고 진짜 퇴사자(=백수) 느낌으로 찍었는데 ㅋㅋㅋㅋㅋㅋㅋ 아뿔사 이렇게 적나라하게 나오기 있나요? 그래도 담당기자님께서 말 예쁘게 잘해서 아나운서, 프리젠터 등 말하는 직업 티난다고 영상 보내주셨네요. 그럼 뭐하나요. 얼굴이!! 얼굴이!!! 임신 10주임을 여실하게 보여주고 있는데... 이렇게 저는 임신 핑계를 대며 메러비언의 법칙을 부정해봅니다. 정말 재미있는 분위기에서 촬영했는데.. 저 이때 팀장님이 힘들게해서 부적썼다고, 아직 지갑에 부적있을거라며 부적을 보여 펄럭거리기도 했었죠 ㅋㅋ 이것이 진정한 퇴사자.한국경제는 역시 크로마키 색감이 넘나 예쁘죠. 쨍한 색감 정말 탐나요.[드리머tv] 한국경제매거진 '퇴사자들' 인터뷰 현장 






"
"사진 촬영 & 영상 제작, N잡 하기 괜찮아?","아래로
상황 : 월급이 만족스럽지 않다. 당신은 어떻게 하시겠습니까? (답정너)① 야근을 밥 먹듯이 하고 빡세지만 연봉을 더 많이 주는 회사로 이직한다.② 똑똑하게 부수입을 만든다.③ 눈물을 훔친ㄷr….☆밀레니얼이 선택한 방법은 바로 ②! 돈이 전부는 아니지만 결코 회사에서 주는 ‘연봉’만으로 만족하지 않겠다는 똑똑한 밀레니얼의 이야기. 그들에게 부수입 얻는 방법을 꼬치꼬치 캐물어 봤다.오늘의 밀레니얼 : 조수홍(28), 3년 차 직장인Q. N잡을 하고 계시다고요?A. 네. 본업은 따로 있고요. 사진과 영상 콘텐츠 외주 제작을 하고 있습니다. 제품이나 인물 사진 촬영도 하고, SNS 광고 영상도 만들고 있어요!Q. 월급 말고 돈이 더 들어오다니, 부럽네요... 어쩌다 N잡을 갖게 되신 거죠?A. 사진과 영상에 대해 하나도 모르던 시절, 여행지에서 찍은 사진이 맘에 들지 않아서 카메라를 공부하게 됐어요. 공부하고 나서 찍은 사진들이 꽤 맘에 들어서 대학 커뮤니티에 올렸는데 반응이 좋더라고요! 그래서 아예 SNS 계정을 만들었죠. 그때 만든 계정이 부수입의 시작이 된 것 같아요. 그 계정을 보고 스냅 사진을 부탁하는 DM도 받았고, 유료(!!) 촬영 문의도 왔고요!조수홍 씨가 운영하고 있는 사진 계정(인스타그램 @bamboographer)Q. 단도직입적으로 물어볼게요. 한 달에 얼마 버세요?A. 대개 건 바이 건으로 책정 받고 있는데요. 한 건에 5만 원부터 40만 원까지 다양합니다. 한 달에 몇 건을 진행하느냐에 따라 수입이 달라지겠죠? 가장 많이 벌었을 때는… 촬영에 꼬박 하루, 편집에 3~4일 정도 틈틈이 투자해서 100만 원 정도 벌었던 것 같네요. 이렇게 번 부수입은 대부분 저축하고 있습니다. 나중에 더 좋은 장비를 사는 데에 투자하려고요!Q. 아무래도... 시간이 많이 필요하겠죠? 본업에 영향을 주진 않나요?A. 흠... 아니라곤 말 못 하겠네요. 촬영하는 날은 예기치 못한 상황이 발생할 수도 있어서 주말 중 하루는 통째로 비워 놓는 편이에요. 편집은 퇴근하고 집에서 여유롭게 조금씩 나눠서 하고 있습니다. 아무래도 창의적인 일이다 보니 이것도 조금씩 차이가 있는데요. 똑같이 5분짜리 영상을 편집하더라도 영상이 계획했던 대로 잘 나오면 금방 끝나기도 하고 생각보다 오래 걸리기도 해요. 그래서 편집 일정이 있는 주에는 다른 저녁 약속을 안 잡아요. 집중해서 빨리 끝내야 다음 날 회사에서 덜 피곤하거든요. 하다 보면 점점 노하우가 생길 거예요.Q. 촬영, 편집… 말만 들어도 어려울 것 같아요. 배우려면 학원비도 만만치 않을 것 같은데요.A. 아니요! 저는 학원에 다녀본 적이 단 한 번도 없는걸요. 기본적인 편집 툴 다루는 방법은 유튜브 채널을 보면서 공부했어요. 필요한 편집 기술이 있으면 유튜브에 검색해 무료 강좌를 통해 배우는 거죠. 하지만 단순히 툴을 다룰 수 있다고 끝나는 게 아니라, 센스 있게 적용하는 게 더 중요한 것 같아요. 그래서 전 아직도 배우는 중이라고 생각해요.(겸손)혹시 카메라를 사셔야 한다면, 비싸고 좋은 장비를 사는 것보다 본인한테 꼭 필요한 기능이 무엇인지 알아보고 구매하는 게 중요해요. 저는 움직임이 많은 영상을 주로 찍기 때문에 초점이 비교적 빠른 후지필름의 X-T3을 쓰고 있습니다.Q. 돈도, 시간도 많이 필요한 줄 알았는데! 생각보다 그렇지 않네요. 그럼 어디서 일을 구할 수 있나요?A. 저는 지인분들이 많이 맡겨주시고 있는데요. 혹시 저처럼 컨택 포인트가 있는 게 아니라면 크몽이라는 프리랜서 마켓 사이트를 추천해요. 포트폴리오와 제작 단가를 올려놓으면 작업을 필요로 하는 사람들한테 연락을 받을 수 있을 거예요. 영상 작업은 보통 얼마를 받아야 하나 고민될 때 대략적인 시세를 파악하는 데에도 도움이 되고요.Q. 마지막으로 부수입을 얻고 싶은 (저 같은) 밀레니얼들에게 해주고 싶은 말이 있다면 거침없이 해주세요!A. 부업이라고 해서 쉽게 수입을 얻는 것은 아닙니다. 어느 정도의 시간과 체력을 투자해야 하고 책임감도 뒤따르죠. ‘내 작업’을 하면 조금 못해도 되지만, 대가를 받는 외주 작업은 신경을 많이 써야 한다는 걸 각오하고 시작하시면 좋을 것 같아요.하지만 결과물이 쌓일수록 제 커리어도 쌓이는 거고 보람 있는 일이란 건 확실합니다. 특히 요즘은 유튜브 시장이 커져서 영상 편집에 대한 니즈가 많은 것 같아요. 저는 N잡 추천이요!밀레니얼 조수홍의 N잡 <사진·영상 촬영, 편집>✔ 투자 시간 : 주말, 저녁 시간 틈틈이✔ 부수입 : 5~40만 원(건 당)✔ 최고 수입 : 약 100만 원(약 5일 소요)✔ 준비물 : 카메라, 편집 프로그램을 설치한 노트북, 그리고 책임감✔ 이런 사람에게 추천합니다    1. 평일 저녁이나 주말에 시간이 있다.    2. 친구들과 모이면 ‘찍사’를 담당한다.    3. 유튜브를 보면서 ‘나라면 이렇게 편집했을텐데!’라는 생각을 종종 한다.금융 지식 딜리버리, 푼푼 바로가기  






"
부분 일식이 있었던 날,"아래로
6월 21일 오후 4시30분쯤부분 일식을 카메라에 담아보려 노력했지만 쉽지 않았다...ㅠㅠ후지필름 X-T30XF 90mm F2필름 시뮬레이션 - 클래식 크롬 (CLASSIC CHROME)






"
"어딘가, 지금의 당신에게","
구글 포토에 사진 백업을 해두었다. 아이들과의 일상 사진이 많은 나는 일주일에 한번씩은 백업을 해두는 편인데, 그렇게 앱에 들어가 보면 종종 준비되어 있는 몇년전 이번주 사진들을 보게 된다. 슬라이드 쇼처럼 넘어가는 이미지들을 가만히 보고 있노라면 아이들의 놀라운 성장, “아... 그래 이때 그랬지” 하는 반갑고 그리운 마음 만큼이나 날 주목시키는게 있는데, 바로 매해 비슷한 시기, 비슷한 시선을 가지고 세상을 보고 있었다는 사실이다. 하늘과 나무, 이리저리 떨어져 있는 꽃잎, 아이들의 놀이 흔적 - 이를테면 기이한 곳에 어떤 연유로 고이 놓인 장난감 같은 것, 해질녁 하늘을 배경으로 짙게 드리워진 나무의 실루엣 등등이 요몇일의 사진 기록과 닮은 것이 많아 이런게 내 ""스타일""인가 싶었다. 아무리 그래도 그렇지, 깜짝 놀랄만큼 몇해전 사진이 몇일전 찍은 사진과 너무나 닮아 있다. 과거가 현재에 성큼 다가와 얼굴을 내미는 느낌이었다. 몇년 뒤 또 비슷한 사진을 찍을 것 같다는 진한 예감마저 남겼다. 내가 산 시간이 내가 살고 있는 시간에게 인사하는것 같았달까, ""또 보자고!"" 이러면서. 우리는 차곡히 쌓인 과거의 흔적들과 함께 현재를 산다. 기쁜 날과 슬픈 날, 유쾌한 날과 힘들고 아픈 날이 모두 녹아 내 안에 살고 있기 때문이다. 그것들은 경험이라는 것으로 불리며, 기억, 기분, 감정과 감상, 예감 따위의 형태로 찾아온다. 때때로는 어떤 심상에 밀려 오기도 한다. 나는 지금 잠시 넋을 두고 있었을 뿐이었는데 과거 어느 한때의 햇빛과 바람이 곁을 지나 마음을 밝혀주기도 하니까. 해서 매일의 삶 자체는, 우리가 섭취하는 음식들 만큼이나 현재를 살아내는 직접적인 연료가 된다. 현재가 선물이라는 말이 또 다르게 다가온다. 산 날로 말미암아 살아가면서, 그와 동시에 살 날들을 또한 고대하고 계획한다는 것. 때문에 우린, 우리 삶이 많이 고단하고 유난히 바쁘게 느껴질때, 우리의 세가지 다른 시간을 하나씩 찬찬히 살펴봐야 한다. 잘 살아내기 위해 말이다. 내가 당장 어려운 이유는 무엇일까? 과거의 내가 아픈건가? 아니면 지금 내게 결핍된 것이 있나? 미래의 나는 지금 어떤 응원이 필요한가? 우리는 우리가 사는 세 시제의 나를 종종 세가지 다른 존재로 마주해야한다. 어느 날 문득 설겆이를 하는데, 그날은 정말... 별다른 이유도 없이 창가로 들어오는 초록빛과 손에 닿는 물의 의 온도, 멀리 들리는 아이들의 웃음 소리에 정신이 혼미할 정도로 기분이 좋았었다. 그릇을 닦으며 생각했다, 지금의 이 기분을, 뭐든 다 할 수 있을것 같고, 혹여 내가 뭔가 대단한걸 해내지 않더라도 나는 정말 행복하고 그걸로 충분하다는 대단원적 결론을 살다 어떤 힘들 날에 조금 떼어 보낼 수 있다면, 하고 말이다. 그래서 글을 쓰기로 했다. 훗날 어딘가 지금의 나에게, 누군가에게 필요할 어떤 위로와 안녕을, 사랑과 감사를, 그리고 응원의 메세지를 보내보기 위해서. 이 귀퉁이, 저 귀퉁이가 모인 글이 ""몇년전 이번주"" 슬라이드 쇼처럼 잔잔히 흐르다 마음 어딘가를 성큼, 잡을 수 있으면 좋겠다. 






"
맑은 하늘로 부탁드립니다,"._platform = ""pc"";





        if ('undefined' != typeof Raven) {
            Raven.config('https://77b0c18789cf4de299d54be350ea2f2f@sentry.kakao.com/737', {
                ignoreErrors: [/Array size is not a small enough positive integer/]
            }).install();
        }
	








































메뉴

brunch



매거진

스토리포토그라피100




실행

신고



라이킷
34


댓글



공유
 브런치 글을 SNS에 공유해보세요

페이스북공유


카카오톡공유


카카오스토리공유


트위터공유










닫기


You can make anythingby writing
- C.S.Lewis -
브런치 시작하기




브런치 홈


브런치 나우


브런치 책방




계정을 잊어버리셨나요?















맑은 하늘로 부탁드립니다스토리포토그라피100
by

유신 케이


Jul 01. 2020

스토리 33 - 맑은 하늘로 부탁드립니다Lomography Simple USE, Lomo 400 / Nippori, Tokyo - Mar일주일 내내 비만 오던 어떤 장마 기간. 아침부터도 비가 하두 오길래 왠지 진한 커피가 마시고 싶어 졌다(왜 인지는 모르겠지만, 비 오는 날은 과테말라가 어울리지 않나요?) 그래서 아침을 간단히 먹고 집 근처의 조용한 카페로 갔다. 창가 자리에 자리를 잡고는 상상했던 커피를 마시며 컴퓨터를 하고 있었다. 그런데 카페가 하도 조용해서 그런지, 멀리서 어떤 꼬맹이가 비 오는 것에 대해 이렇게 얘기하는 것이 들려왔다. ""요새 왜 계속 비만 오고 햇님이 안 보이나 했더니 여기 숨어있었네~ 찾았다! 햇님! 카페에서 그만 땡땡이치고 어서 복귀하셔서 맑은 하늘 좀 만들어주세요!""카페의 샛노란 전구를 보고, 창밖의 장맛비를 보고, 저런 생각을 하는구나. 오~하고 오랜만에 감탄했다. 음- 근데 저게 어린이 감성이 맞나 싶어 고개를 들어 소리가 들려온 테이블을 바라보니, 아아~ 어린이가 아니라 그냥 닭살커플이었구나. '역시 연애하면 괜찮은 아이디어들이 많이 나오네'라고 긍정적으로 생각했다.     @ 햇님! 너무 빡시게 일하셔도 현기증 나서 곤란해요. 적당히 맑은 하늘로 부탁드립니다.  살다 보면 생각지도 못한 곳에서, 생각지도 못한 타이밍에 멋진 아이디어들을 만나는 경우가 의외로 많다. 이때 '나'로부터 나오는 아이디어든 다른 누군가로부터의 아이디어든 일단 '기록'해두는 것이 정말 중요하다. 기록하지 않으면 대부분의 아이디어들은 영영 사라져 버려서 다시는 만날 수 없게 되지만, 간단하게라도 기록을 해두면 언젠간 멋지게 부활시킬 수 있기 때문이다. 아이디어의 기록이라는 것은 글로 할 수도 있고 사진으로도 할 수 있다.






"
눈 길,"._platform = ""pc"";





        if ('undefined' != typeof Raven) {
            Raven.config('https://77b0c18789cf4de299d54be350ea2f2f@sentry.kakao.com/737', {
                ignoreErrors: [/Array size is not a small enough positive integer/]
            }).install();
        }
	








































메뉴

brunch




실행

신고



라이킷
12


댓글



공유
 브런치 글을 SNS에 공유해보세요

페이스북공유


카카오톡공유


카카오스토리공유


트위터공유










닫기


You can make anythingby writing
- C.S.Lewis -
브런치 시작하기




브런치 홈


브런치 나우


브런치 책방




계정을 잊어버리셨나요?















눈 길 
by

그냥


Jun 30. 2020
아래로
눈 길, 2018.






"
저는 언제나 저였습니다.,"._platform = ""pc"";





        if ('undefined' != typeof Raven) {
            Raven.config('https://77b0c18789cf4de299d54be350ea2f2f@sentry.kakao.com/737', {
                ignoreErrors: [/Array size is not a small enough positive integer/]
            }).install();
        }
	








































메뉴

brunch



매거진

치유의 시간들




실행

신고



라이킷
26


댓글
11


공유
 브런치 글을 SNS에 공유해보세요

페이스북공유


카카오톡공유


카카오스토리공유


트위터공유










닫기


You can make anythingby writing
- C.S.Lewis -
브런치 시작하기




브런치 홈


브런치 나우


브런치 책방




계정을 잊어버리셨나요?















저는 언제나 저였습니다.치유의 시간들을 시작하며
by

고대윤


Jun 30. 2020
아래로
혼자서 많은 시간, 사진을 찍으러 돌아다녔습니다. 출사라 일컫어지는 사진 동호회 및 사진 밴드 등의 사진 모임에는 가입하지 않은 채, 거의 대부분의 시간을 혼자 사진을 찍으러 다녔습니다.언젠가는 사진을 찍다가 감정이 복받쳐 오른 적도 있었고, 어떤 날을 정말 행복해서 미소를 입가에 물고 다닌 적도 있었습니다. 때로는 가방이 열린 적도 모른 채, 카메라를 들고 뛰어다닌 적도 있고, 또 어떤 날은 가방에서 필름이 줄줄 세어 나와서 당황을 한 적도 있었습니다. 제가 몇 년간 찍어온 사진을 보면, 그 때나 지금이나 늘 비슷한 사진들 뿐입니다.어떤 순간에는 저를 꼭 닮았지만 작은 키의 친구가 제 옆을 지켜주기도 했고, 어떤 순간에는 저보다 훨씬 큰 키의 친구가 저와 동행해주기도 했습니다. 그래서 저는 크게 외롭지만은 않았던 것 같습니다. 제 친구들은 바짝 제 옆에서 저를 지켜줬기에 저는 마음 놓고 사진을 찍을 수 있었습니다.그래서인지, 늘 비슷비슷한 사진들이 제 주변을 채우고 있습니다. 거의 변화가 없는 제 사진들은 저의 진실된 모습인 것 같다는 생각을 합니다. 그래서 저를 닮은 사진을 찍다 보니 끝끝내 저도 조금씩 치유가 될 수 있었던 것 같습니다. 하지만 저는 아직도 ""완치""라는 단어에서는 너무 멀리 떨어져 있지만, 그리고 그 단어에 가까이 갈 수 있을지 모르지만, 제가 찍어왔던 사진들과 그때마다 느꼈던 감정들을 묶어서 작은 앨범을 만들어보려 합니다.많은 분들에게 다가갈 수 있을지는 모르겠지만, 단 한 분에게라도 의미가 있는 사진과 글이 될 수 있다면, 정말 행복할 것 같습니다. 다녀가시는 여러분의 시간은 부디 조금이라도 덜 아프시질 않기를 바라며...2020-06HARU






"
향수가 사라져 간다.,"._platform = ""pc"";





        if ('undefined' != typeof Raven) {
            Raven.config('https://77b0c18789cf4de299d54be350ea2f2f@sentry.kakao.com/737', {
                ignoreErrors: [/Array size is not a small enough positive integer/]
            }).install();
        }
	








































메뉴

brunch



매거진

사진여행




실행

신고



라이킷
10


댓글



공유
 브런치 글을 SNS에 공유해보세요

페이스북공유


카카오톡공유


카카오스토리공유


트위터공유










닫기


You can make anythingby writing
- C.S.Lewis -
브런치 시작하기




브런치 홈


브런치 나우


브런치 책방




계정을 잊어버리셨나요?















향수가 사라져 간다.사진 essay
by

램바 lambba


Jun 30. 2020

나는 45년을 신촌에서만 살았다. 이사는 단세 번만 학교도 직장도 신촌로터리를 중심으로 30분 거리에서 해결했다. 지금은 서강대역이지만 오래전엔 삼표연탄이 있었던 곳이다.  이 공장을 통해 70년대, 80년 초까지 조랑말과 리어카를 이용하여 연탄이 배달되었다. 덕분에 신촌엔 조랑말이 싼 똥들을 길가에서 흔히 볼 수 있었다. 현재는 복개천이지만 나의 기억 속엔 현재의 서강대교부터 이대입구까지 천이 흐르고 있었다. 그 천을 따라 초등학교에 가곤 했었다.중학교 때는 신촌 지하철 2호선이 생겼다. 그전엔 전철을 타려면 영등포를 거쳐 인천을 가곤 했었는데 집 근처에 전철역이 생겨 너무나 신기했다.그렇게 세월이 흘러 내가 살고 있는 집을 중심으로 새로운 역사들이 들어섰다. 서강대 역과 공항철도...현재도 내가 살았던 신촌은 갈 때마다 무섭게 변신 중이다. 일본에 가족이 있어 최소 1년에 한 번 이상은 갔다 오곤 한다. 일본에 갈 때마다 느끼는 점이 있다. 가족이 살고 있는 집을 15년 이상 방문했는데 바뀐 것은 아무것도 없다. 식당이 좀 더 낡았고, 상가 주인들은 백발의 주인, 또는 자식으로 바뀌는 정도...여전히 버스기사가 돈 계산을 하고 있다. 굳이 바뀐 것이라면  ic카드를 인식하는 단말기가 있다는...일본의 어떤 역은 아직도 티켓에 펀칭을 해주고 있고 역무원은 어디서든 쉽게 볼 수가 있다. 이런 이유일까? 일본에서 전철을 타면 어릴 적 향수를 느끼곤 한다. 동교동에 열차 건널목이 있었고, 땡땡거리라 불리는 곳은 나의 집 근처였다.당시엔 이대입구에 있는 교외선이라는 신촌역을 통해 일영이나 장흥에 갈 수가 있었다. 물론 지금도 경의선이라는 새로운 지하철 시스템으로 갈 수 있다. 참 재밌다. 나의 유년시절의 향수를 일본에서 느낀다는 것이...변화도 좋지만 향수를 느낄만한 조금의 여유가 있었으면 좋겠다. 사진 photo by lambba사진 photo by lambba






"
좋아한다는 것에 대하여.,"._platform = ""pc"";





        if ('undefined' != typeof Raven) {
            Raven.config('https://77b0c18789cf4de299d54be350ea2f2f@sentry.kakao.com/737', {
                ignoreErrors: [/Array size is not a small enough positive integer/]
            }).install();
        }
	








































메뉴

brunch



매거진

야매로 찍고 써보는 필름 사진집




실행

신고



라이킷
9


댓글



공유
 브런치 글을 SNS에 공유해보세요

페이스북공유


카카오톡공유


카카오스토리공유


트위터공유










닫기


You can make anythingby writing
- C.S.Lewis -
브런치 시작하기




브런치 홈


브런치 나우


브런치 책방




계정을 잊어버리셨나요?















좋아한다는 것에 대하여.reciprocate.
by

철도 고양이


Jun 30. 2020

이제 100번째 글입니다.두 번째 프로젝트 100이 끝났네요. 고생한 제 자신을 축하하며 마무리지을 사진을 골라보았습니다. 맨 처음 올렸던 사진의 열렬했던 구애의 결과물입니다. 제목은 현상하기도 전에 지었어요. 화답이라고. 참 예쁜 대답이에요.저는 카메라에 대한 욕심이 아주 많았어요. 자라면서 정말 다양한 카메라를 다뤄보기도, 가져보기도 했습니다. 전공 중에 디자인이 있었던 것도 한몫한 것 같아요. 그럼에도 필름 카메라는 관심 밖이었습니다. 더 좋은 바디와 더 좋은 렌즈만이 최대 관심사였고 매해 발표하는 DSLR의 신작들이 주 관심사였지요. 사실 사진은 취미가 아니었고 잘 찍지도 못했거든요. 그저 기계가 신기했던 거죠.그러던 언젠가 저와 취미나 취향이 비슷한 분이 저에게 요즘 필름 사진을 찍고 있다는 말을 해주었어요. 그 말을 듣고 저는 오랜 시간을 건너 잊고 있었던 작은 로망에 대해 떠올리기 시작했습니다. 아주 작은 구석에 한 부분이었지만 불씨 하나 때문에 마음에 불이 번져버렸어요. 그 길로 바로 카메라를 골랐고, 롤라이는 운명같이 만났어요. 그리고 조금은 진심으로 사진을 찍기 시작했어요.사진을 찍으면서 카메라와 피사체의 작용과 반작용이 마치 구애와 화답의 과정 같다고 느낀 적이 더러 있었습니다. 필름은 디지털보다 좀 더 구애의 답을 듣는데 시간이 걸리는 오랜 화답이라고 생각해요. 그 사이의 설렘이, 절절한 구애에 대한 답이 어떻게 돌아올지 모르는 그 설렘이 좋았어요. 동화 같고 어딘가 오래된 책 냄새나는 이야기 같은. 혹은 어쩌면 조금은 소심한 제 마음을 닮아 더욱 좋아하는 걸지도 몰라요.저는 저를 닮은 걸 좋아하거든요.reciprocate.당신은 나에게 어떤 답을 줄까요.https://www.instagram.com/p/B-a2CsTHygV/?utm_source=ig_web_copy_linkInstagram의 The Railway Cat님: “Reciprocate.  _ #� #� : #rollei35s #fujicolor200  Dev&Scan: @cheonggye_gorae_studio  _좋아요 51개, 댓글 0개 - Instagram의 The Railway Cat(@this_photo_name_is_)님: ""Reciprocate. _ #� #� : #rollei35s #fujicolor200 Dev&Scan: @cheonggye_gorae_studio _…""www.instagram.com 






"
시장의 빛,"._platform = ""pc"";





        if ('undefined' != typeof Raven) {
            Raven.config('https://77b0c18789cf4de299d54be350ea2f2f@sentry.kakao.com/737', {
                ignoreErrors: [/Array size is not a small enough positive integer/]
            }).install();
        }
	








































메뉴

brunch



매거진

모두의 동네 거리사진




실행

신고



라이킷
11


댓글



공유
6
 브런치 글을 SNS에 공유해보세요

페이스북공유


카카오톡공유


카카오스토리공유


트위터공유










닫기


You can make anythingby writing
- C.S.Lewis -
브런치 시작하기




브런치 홈


브런치 나우


브런치 책방




계정을 잊어버리셨나요?















시장의 빛후지필름 X-T30, 7장인 55mm F1.4
by

개떡이작업실 그림과 사진


Jun 30. 2020
아래로
시장의 빛은 다른 곳과는 좀 다르다.평소에는 시선이 가지 않던 곳에 빛이 떨어져 그곳을 보게 만든다.후지필름 X-T307장인 55mm F1.4필름 시뮬레이션 - 클래식 크롬 (CLASSIC CHROME)






"
